Date,Time,Value,Timestamp,Note
8/17/22,13:00:00,1,1660752000858,
8/17/22,20:15:57,1,1660778157589,
8/18/22,12:32:43,1,1660836763804,
8/18/22,20:48:03,1,1660866483785,
8/19/22,07:00:00,1,1660903200217,
8/19/22,09:55:43,1,1660913743356,
8/19/22,13:07:16,1,1660925236549,
8/19/22,20:19:40,1,1660951180287,
8/20/22,07:30:00,1,1660991400972,
8/21/22,15:11:41,1,1661105501389,
8/21/22,17:51:35,1,1661115095330,
8/21/22,17:51:37,1,1661115097977,
8/24/22,20:33:09,1,1661383989605,
8/25/22,21:56:48,1,1661475408581,
8/25/22,22:33:35,1,1661477615317,
8/26/22,21:28:17,1,1661560097175,
8/27/22,00:12:43,1,1661569963532,
8/27/22,08:59:03,1,1661601543928,
8/27/22,19:07:16,1,1661638036191,
8/27/22,19:07:21,1,1661638041007,
8/27/22,19:07:24,1,1661638044722,
8/27/22,20:54:48,1,1661644488296,
8/28/22,10:08:20,1,1661692100574,
8/28/22,10:08:28,1,1661692108962,
8/28/22,15:16:04,1,1661710564344,
8/28/22,17:09:26,1,1661717366236,
8/29/22,07:37:21,1,1661769441499,
8/29/22,07:46:40,1,1661770000255,
8/29/22,12:37:47,1,1661787467721,
8/29/22,13:47:46,1,1661791666525,
8/29/22,21:54:57,1,1661820897749,
8/30/22,12:58:30,1,1661875110124,
8/30/22,19:28:32,1,1661898512110,
8/30/22,23:34:01,1,1661913241715,
8/31/22,17:04:26,1,1661976266873,
8/31/22,20:08:07,1,1661987287269,
9/1/22,06:14:40,1,1662023680433,
9/1/22,07:25:27,1,1662027927402,
9/1/22,12:59:34,1,1662047974978,
9/1/22,22:07:18,1,1662080838043,
9/1/22,23:31:10,1,1662085870861,
9/2/22,00:09:02,1,1662088142718,
9/2/22,12:13:02,1,1662131582598,
9/3/22,13:14:49,1,1662221689954,
9/3/22,14:36:45,1,1662226605755,
9/3/22,19:05:10,1,1662242710697,
9/3/22,22:34:59,1,1662255299703,
9/3/22,23:13:25,1,1662257605441,
9/4/22,09:29:17,1,1662294557609,
9/4/22,14:39:06,1,1662313146413,
9/4/22,21:00:56,1,1662336056217,
9/5/22,07:46:06,1,1662374766425,
9/5/22,12:56:11,1,1662393371004,
9/5/22,15:22:43,1,1662402163197,
9/5/22,21:21:09,1,1662423669984,
9/6/22,07:42:18,1,1662460938701,
9/6/22,13:27:27,1,1662481647314,
9/6/22,20:33:03,1,1662507183083,
9/6/22,23:12:38,1,1662516758952,
9/6/22,23:42:51,1,1662518571328,
9/7/22,02:30:36,1,1662528636241,
9/7/22,03:07:05,1,1662530825636,
9/7/22,23:38:16,1,1662604696552,
9/8/22,01:11:01,1,1662610261894,
9/8/22,13:06:02,1,1662653162943,
9/9/22,10:31:51,1,1662730311775,
9/9/22,10:31:54,1,1662730314561,
9/9/22,18:07:59,1,1662757679997,
9/9/22,22:14:46,1,1662772486536,
9/11/22,20:26:14,1,1662938774063,
9/11/22,20:26:15,1,1662938775649,
9/11/22,21:53:57,1,1662944037180,
9/12/22,13:13:56,1,1662999236140,
9/12/22,17:07:00,1,1663013220103,
9/12/22,19:07:35,1,1663020455100,
9/15/22,16:22:24,1,1663269744532,
9/15/22,17:16:18,1,1663272978259,
9/15/22,23:02:32,1,1663293752600,
9/16/22,22:26:50,1,1663378010210,
9/16/22,22:26:50,1,1663378010925,
9/17/22,15:17:54,1,1663438674439,
9/17/22,15:17:54,1,1663438674914,
9/17/22,15:17:55,1,1663438675330,
9/18/22,12:49:39,1,1663516179170,
9/18/22,15:36:34,1,1663526194050,
9/18/22,19:01:53,1,1663538513841,
9/19/22,06:52:30,1,1663581150134,
9/19/22,13:47:56,1,1663606076934,
9/19/22,17:02:44,1,1663617764418,
9/19/22,18:14:00,1,1663622040127,
9/20/22,01:55:23,1,1663649723932,
9/20/22,04:41:42,1,1663659702694,
9/20/22,06:29:49,1,1663666189011,
9/20/22,13:54:14,1,1663692854340,
9/20/22,19:18:26,1,1663712306278,
9/21/22,04:54:36,1,1663746876967,
9/21/22,13:00:25,1,1663776025574,
9/21/22,18:37:49,1,1663796269417,
9/22/22,06:15:32,1,1663838132863,
9/22/22,07:23:46,1,1663842226793,
9/22/22,13:04:45,1,1663862685367,
9/22/22,22:02:33,1,1663894953170,
9/23/22,02:51:28,1,1663912288704,
9/23/22,11:37:29,1,1663943849434,
9/23/22,15:22:58,1,1663957378107,
9/24/22,11:25:07,1,1664029507580,
9/24/22,16:03:30,1,1664046210301,
9/24/22,20:03:34,1,1664060614601,
9/24/22,21:50:21,1,1664067021236,
9/25/22,07:59:19,1,1664103559627,
9/25/22,14:29:57,1,1664126997119,
9/25/22,15:21:57,1,1664130117667,
9/25/22,16:24:53,1,1664133893858,
9/30/22,20:10:49,1,1664579449734,
10/1/22,00:10:00,1,1664593800969,
10/1/22,00:56:18,1,1664596578133,
10/3/22,19:56:48,1,1664837808572,
10/4/22,07:11:10,1,1664878270325,
10/4/22,12:45:07,1,1664898307551,
10/4/22,17:28:48,1,1664915328038,
10/4/22,20:34:32,1,1664926472359,
10/4/22,21:36:06,1,1664930166949,
10/5/22,12:38:52,1,1664984332379,
10/5/22,20:06:33,1,1665011193423,
10/6/22,12:15:32,1,1665069332805,
10/6/22,21:45:06,1,1665103506046,
10/7/22,02:47:31,1,1665121651024,
10/7/22,13:57:37,1,1665161857254,
10/7/22,15:47:04,1,1665168424730,
10/7/22,18:36:39,1,1665178599315,
10/8/22,07:53:33,1,1665226413696,
10/8/22,11:17:26,1,1665238646417,
10/8/22,14:36:08,1,1665250568199,
10/8/22,23:35:05,1,1665282905844,
10/9/22,07:34:02,1,1665311642580,
10/9/22,12:43:37,1,1665330217039,
10/10/22,20:45:49,1,1665445549153,
10/11/22,01:23:10,1,1665462190199,
10/11/22,13:00:51,1,1665504051809,
10/12/22,22:10:36,1,1665623436718,
10/13/22,06:49:38,1,1665654578785,
10/13/22,18:29:17,1,1665696557338,
10/13/22,20:58:53,1,1665705533642,
10/14/22,08:14:16,1,1665746056660,
10/14/22,10:40:26,1,1665754826802,
10/14/22,16:46:12,1,1665776772984,
10/14/22,20:11:48,1,1665789108702,
10/15/22,09:08:55,1,1665835735160,
10/15/22,18:45:33,1,1665870333192,
10/16/22,07:24:16,1,1665915856772,
10/16/22,09:32:41,1,1665923561908,
10/16/22,11:52:04,1,1665931924182,
